"","nfi_plot","meas_date","time_step","meas_year"
"318",1156421,2015-06-25,"t2",2015
"319",1156461,2003-08-18,"t1",2003
"320",1156461,2016-08-26,"t2",2016
"321",1156501,2003-07-01,"t1",2003
"322",1156501,2017-06-12,"t2",2017
"323",1162966,2004-08-24,"t1",2004
"324",1162966,2020-07-07,"t2",2020
"325",1162986,2001-07-21,"t1",2001
"326",1162986,2019-07-09,"t2",2019
"327",1163006,2001-07-19,"t1",2001
"328",1163006,2019-07-17,"t2",2019
"329",1169811,2003-07-24,"t1",2003
"330",1169811,2018-07-17,"t2",2018
"331",1170181,2004-07-21,"t1",2004
"332",1170181,2016-08-15,"t2",2016
"333",1170231,2003-08-17,"t1",2003
"334",1170231,2017-07-05,"t2",2017
"335",1170251,2003-08-12,"t1",2003
"336",1170251,2017-07-06,"t2",2017
"337",1176611,2002-08-01,"t1",2002
"338",1176611,2021-08-07,"t2",2021
"339",1176651,2001-08-18,"t1",2001
"340",1176651,2021-08-04,"t2",2021
"341",1176656,2003-06-27,"t1",2003
"342",1176656,2021-07-31,"t2",2021
"343",1176756,2003-06-20,"t1",2003
"344",1176756,2019-07-14,"t2",2019
"345",1177066,2004-06-22,"t1",2004
"346",1177066,2016-08-14,"t2",2016
"347",1177071,2004-06-22,"t1",2004
"348",1177071,2015-08-22,"t2",2015
"349",1177121,2003-08-14,"t1",2003
"350",1177121,2012-08-22,"t2",2012
"351",1177126,2003-08-15,"t1",2003
"352",1177126,2017-07-07,"t2",2017
"353",1183516,2005-07-18,"t1",2005
"354",1183516,2021-07-29,"t2",2021
"355",1183601,2003-06-21,"t1",2003
"356",1183601,2019-07-20,"t2",2019
"357",1183821,2004-07-20,"t1",2004
"358",1183821,2014-08-12,"t2",2014
"359",1183951,2003-08-30,"t1",2003
"360",1183951,2016-08-16,"t2",2016
"361",1183991,2003-08-13,"t1",2003
"362",1183991,2017-06-13,"t2",2017
"363",1190376,2002-07-24,"t1",2002
"364",1190376,2021-08-02,"t2",2021
"365",1190456,2003-07-25,"t1",2003
"366",1190456,2018-07-14,"t2",2018
"367",1190916,2004-06-12,"t1",2004
"368",1190916,2017-07-10,"t2",2017
"369",1197411,2001-07-24,"t1",2001
"370",1197411,2019-09-08,"t2",2019
"371",1197741,2003-06-17,"t1",2003
"372",1197741,2016-08-24,"t2",2016
"373",1197751,2003-06-23,"t1",2003
"374",1197751,2016-08-12,"t2",2016
"375",1197761,2003-08-17,"t1",2003
"376",1197761,2017-07-09,"t2",2017
"377",1197766,2003-07-15,"t1",2003
"378",1197766,2012-07-06,"t2",2012
"379",1204261,2003-06-26,"t1",2003
"380",1204261,2019-07-26,"t2",2019
"381",1204271,2002-07-21,"t1",2002
"382",1204271,2019-07-27,"t2",2019
"383",1204281,2001-07-25,"t1",2001
"384",1204281,2019-07-23,"t2",2019
"385",1204606,2003-08-26,"t1",2003
"386",1204606,2016-08-11,"t2",2016
"387",1211016,2002-07-25,"t1",2002
"388",1211016,2021-08-16,"t2",2021
"389",1211056,2005-07-17,"t1",2005
"390",1211056,2018-07-12,"t2",2018
"391",1211116,2005-06-18,"t1",2005
"392",1211116,2018-07-15,"t2",2018
"393",1211411,2004-08-10,"t1",2004
"394",1211411,2009-08-29,"t2",2009
"395",1211411,2019-08-26,"t3",2019
"396",1211511,2004-06-13,"t1",2004
"397",1211511,2016-08-09,"t2",2016
"398",1211561,2004-06-12,"t1",2004
"399",1211561,2017-07-11,"t2",2017
"400",1217986,2003-07-27,"t1",2003
"401",1217986,2018-07-21,"t2",2018
"402",1217991,2003-06-23,"t1",2003
"403",1217991,2018-07-18,"t2",2018
"404",1217996,2002-08-18,"t1",2002
"405",1217996,2018-07-11,"t2",2018
"406",1218376,2003-08-28,"t1",2003
"407",1218376,2016-08-10,"t2",2016
"408",1224876,2005-06-19,"t1",2005
"409",1224876,2018-07-13,"t2",2018
"410",1224886,2002-07-06,"t1",2002
