time_step,name,mean_trait_val,sd_trait_val
t2,shade_tolerance,2.2227308950125297,1.6677544978761323
t2,slope_vulnerability_curve,41.3761300164484,28.3307552660449
t2,specific_leaf_area,9.945373873428041,7.931721337033188
t2,specific_leaf_conduct,3.399374209113074e-5,4.292876762782538e-5
t2,stem_conduit_dens,1065.6152278239472,1138.4047079271354
t2,stem_conduit_diam,14.712903914796138,9.711117016246165
t2,stem_xylem_vulnerability_p50,-0.6621306974931694,1.1743137291090509
t2,stomata_density,3.727987849450859,16.615915226378476
t2,stomatal_conductance,89.04427948171691,107.58077724340754
t2,water_potential_12_loss_stem,-1.8885463396902422,1.2881339130552165
t2,water_potential_50_loss_stem,-2.3722054407758972,1.3040281548562362
t2,water_potential_88_loss_stem,-3.4567556016421075,1.9514238794489602
t2,water_use_effic,15.9824851277001,31.740462681740354
