"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"128",1266461,"2015-AUG-30","PICE MAR",5970000,470000,63.58612
"129",1266461,"2015-AUG-30","PINU BAN",5970000,470000,871.50388
"130",1266471,"2004-SEP-15","PICE MAR",5960000,510000,425.10744
"131",1266471,"2004-SEP-15","PINU BAN",5960000,510000,291.92896
"132",1266471,"2009-AUG-28","PICE MAR",5960000,510000,644.7514
"133",1266471,"2009-AUG-28","PINU BAN",5960000,510000,191.1459
"134",1266471,"2018-JUL-23","PICE MAR",5960000,510000,NA
"135",1266471,"2018-JUL-23","PINU BAN",5960000,510000,77.8336
"136",1266481,"2003-SEP-08","ABIE BAL",5950000,550000,1319.899824
"137",1266481,"2003-SEP-08","BETU PAP",5950000,550000,15.515118
"138",1266481,"2003-SEP-08","PICE GLA",5950000,550000,1233.7992
"139",1266481,"2003-SEP-08","POPU BAL",5950000,550000,787.3587
"140",1266481,"2003-SEP-08","POPU TRE",5950000,550000,793.242558
"141",1266481,"2013-AUG-31","ABIE BAL",5950000,550000,94.279036
"142",1266481,"2013-AUG-31","BETU PAP",5950000,550000,15.902488
"143",1266481,"2013-AUG-31","POPU BAL",5950000,550000,940.42795
"144",1266481,"2013-AUG-31","POPU TRE",5950000,550000,1008.692726
"145",1266491,"2003-AUG-23","PICE MAR",5930000,590000,31.4235
"146",1266491,"2003-AUG-23","POPU TRE",5930000,590000,38.4065
"147",1266491,"2009-AUG-31","BETU PAP",5930000,590000,0.249501
"148",1266491,"2009-AUG-31","POPU TRE",5930000,590000,24.700599
"149",1266491,"2019-AUG-25","POPU TRE",5930000,590000,92.802798
"150",1266511,"2004-SEP-24","ABIE BAL",5910000,660000,20.3578
"151",1266511,"2004-SEP-24","BETU PAP",5910000,660000,1905.0725
"152",1266511,"2004-SEP-24","PICE MAR",5910000,660000,4435.00878
"153",1266511,"2004-SEP-24","POPU TRE",5910000,660000,1280.20872
"154",1266511,"2017-OCT-05","ABIE BAL",5910000,660000,60.9122
"155",1266511,"2017-OCT-05","BETU PAP",5910000,660000,1118.01252
"156",1266511,"2017-OCT-05","PICE MAR",5910000,660000,5371.32102
"157",1280161,"2004-SEP-29","LARI LAR",6e+06,620000,207.90156
"158",1280161,"2004-SEP-29","PICE GLA",6e+06,620000,791.603238
"159",1280161,"2004-SEP-29","PICE MAR",6e+06,620000,661.807234
"160",1280161,"2004-SEP-29","SALI SPP",6e+06,620000,2.069668
"161",1280161,"2012-AUG-08","LARI LAR",6e+06,620000,961.42236
"162",1280161,"2012-AUG-08","PICE GLA",6e+06,620000,2482.097786
"163",1280161,"2012-AUG-08","PICE MAR",6e+06,620000,993.992472
"164",1280161,"2012-AUG-08","POPU BAL",6e+06,620000,99.30184
"165",1280171,"2004-JUL-30","POPU TRE",5990000,660000,2.4572
"166",1280171,"2014-AUG-07","POPU TRE",5990000,660000,4.6926
