"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"272",1396871,0,0,2,"PICE","ENG","GLA",5,0.033,"2003-JUN-26",5790000,390000
"273",1396871,0,1,1,"PINU","CON","LAT",89,0.933,"2013-AUG-09",5790000,390000
"274",1396871,0,1,2,"PICE","ENG","",11,0.067,"2013-AUG-09",5790000,390000
"275",1396896,0,0,1,"PINU","CON","LAT",98,0.904,"2003-JUL-07",5780000,490000
"276",1396896,0,0,2,"POPU","TRE","",2,0.096,"2003-JUL-07",5780000,490000
"277",1396896,0,1,1,"PINU","CON","LAT",99,0.808,"2013-SEP-12",5780000,490000
"278",1396896,0,1,2,"POPU","TRE","",1,0.192,"2013-SEP-12",5780000,490000
"279",1396931,0,0,1,"PICE","SPP","",100,1,"2001-OCT-04",5780000,630000
"280",1396931,0,1,1,"PICE","SPP","",100,1,"2009-AUG-19",5780000,630000
"281",1396931,0,2,1,"PICE","ENG","",37,0.5,"2013-JUL-23",5780000,630000
"282",1396931,0,2,2,"ABIE","LAS","",31,0.375,"2013-JUL-23",5780000,630000
"283",1396936,0,0,1,"ABIE","LAS","",100,1,"2003-JUL-24",5770000,650000
"284",1396936,0,1,1,"ABIE","LAS","",100,1,"2013-JUL-19",5770000,650000
"285",1403871,0,0,1,"ABIE","LAS","",80,0.7,"2003-JUL-20",5730000,450000
"286",1403871,0,0,2,"PICE","ENG","",20,0.3,"2003-JUL-20",5730000,450000
"287",1403871,0,1,1,"ABIE","LAS","",100,1,"2016-JUL-20",5730000,450000
"288",1410631,0,0,1,"PINU","CON","LAT",100,1,"2003-JUL-08",5750000,380000
"289",1410631,0,1,1,"PINU","CON","LAT",100,1,"2013-AUG-10",5750000,380000
"290",1410696,0,0,1,"PSEU","MEN","GLA",100,1,"2002-JUN-18",5730000,640000
"291",1410696,0,1,1,"PSEU","MEN","",100,1,"2013-JUL-17",5730000,640000
"292",1410761,0,0,3,"BETU","PAP","",25,0.067,"2002-JUL-09",5710000,490000
"293",1410761,0,0,4,"ABIE","LAS","",7,0.017,"2002-JUL-09",5710000,490000
"294",1410761,0,1,1,"PSEU","MEN","",47,0.5,"2016-AUG-17",5710000,490000
"295",1410761,0,1,2,"PICE","ENG","GLA",29,0.3,"2016-AUG-17",5710000,490000
"296",1410761,0,1,3,"ABIE","LAS","",13,0.1,"2016-AUG-17",5710000,490000
"297",1410761,0,1,4,"BETU","PAP","",12,0.1,"2016-AUG-17",5710000,490000
"298",1417521,0,0,1,"PINU","CON","LAT",100,1,"2004-JUN-24",5720000,420000
"299",1417521,0,1,1,"PINU","CON","LAT",99,0.909,"2013-AUG-13",5720000,420000
"300",1417521,0,1,2,"PICE","ENG","",1,0.091,"2013-AUG-13",5720000,420000
