"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"411",1321686,"2019-JUN-20",1405.82,2,2,"BETU","PAP",NA,28.6,0.28,5560000,7e+05,402.06452
"412",1321686,"2019-JUN-20",1405.82,2,1,"POPU","TRE",NA,53.8,0.68,5560000,7e+05,756.33116
"413",1321686,"2019-JUN-20",1405.82,2,3,"PINU","BAN",NA,17.6,0.04,5560000,7e+05,247.42432
"414",1328496,"2003-AUG-06",9038.73,0,4,"QUER","MAC",NA,5.1,0.094,5650000,440000,460.97523
"415",1328581,"2004-AUG-09",68.82,0,1,"PICE","MAR",NA,65,0.667,5520000,320000,44.733
"416",1328581,"2004-AUG-09",68.82,0,2,"LARI","LAR",NA,35,0.333,5520000,320000,24.087
"417",1328581,"2009-AUG-04",91.98,1,2,"LARI","LAR",NA,26.2,0.25,5520000,320000,24.09876
"418",1328581,"2009-AUG-04",91.98,1,1,"PICE","MAR",NA,73.8,0.75,5520000,320000,67.88124
"419",1328581,"2019-SEP-18",163.38,2,1,"PICE","MAR",NA,83.9,0.857,5520000,320000,137.07582
"420",1328581,"2019-SEP-18",163.38,2,2,"LARI","LAR",NA,16.1,0.143,5520000,320000,26.30418
"421",1328586,"2003-JUN-22",95.12,0,1,"PICE","MAR",NA,100,1,5510000,340000,95.12
"422",1328586,"2014-JUN-19",213.77,1,2,"LARI","LAR",NA,21.7,0.25,5510000,340000,46.38809
"423",1328586,"2014-JUN-19",213.77,1,1,"PICE","MAR",NA,78.3,0.75,5510000,340000,167.38191
"424",1335381,"2003-JUL-31",8198.48,0,4,"BETU","PAP",NA,13,0.056,5620000,450000,1065.8024
"425",1335381,"2013-AUG-07",7724.47,1,1,"PICE","GLA",NA,35.4,0.5,5620000,450000,2734.46238
"426",1342331,"2003-JUN-07",5845.87,0,1,"PINU","BAN",NA,100,1,5500000,7e+05,5845.87
"427",1342331,"2009-JUN-04",5016.28,1,1,"PINU","BAN",NA,99.1,0.955,5500000,7e+05,4971.13348
"428",1342331,"2009-JUN-04",5016.28,1,2,"POPU","TRE",NA,0.9,0.045,5500000,7e+05,45.14652
