"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"43",1238941,"2013-SEP-02",4.0637,0,1,2,"PICE","MAR",NA,14,0.037,6050000,490000,0.14,0.568918
"44",1238951,"2004-SEP-11",20.9079,0,0,1,"BETU","PUM",NA,56,0.556,6030000,530000,0.56,11.708424
"45",1238951,"2004-SEP-11",20.9079,0,0,2,"PINU","BAN",NA,22,0.222,6030000,530000,0.22,4.599738
"46",1238951,"2004-SEP-11",20.9079,0,0,3,"SALI","SPP",NA,22,0.222,6030000,530000,0.22,4.599738
"47",1238951,"2009-AUG-26",3.4735,0,1,1,"PINU","BAN",NA,78,0.778,6040000,530000,0.78,2.70933
"48",1238951,"2009-AUG-26",3.4735,0,1,2,"BETU","PUM",NA,11,0.111,6040000,530000,0.11,0.382085
"49",1238951,"2009-AUG-26",3.4735,0,1,3,"SALI","SPP",NA,11,0.111,6040000,530000,0.11,0.382085
"50",1238951,"2018-JUL-26",20.2497,0,2,1,"PINU","BAN",NA,92,0.765,6040000,530000,0.92,18.629724
"51",1238951,"2018-JUL-26",20.2497,0,2,2,"PICE","MAR",NA,8,0.235,6040000,530000,0.08,1.619976
"52",1252651,"2004-JUL-17",17.5232,0,0,1,"PINU","BAN",NA,100,1,6070000,680000,1,17.5232
"53",1252651,"2014-AUG-08",134.4011,0,1,1,"PINU","BAN",NA,100,1,6070000,680000,1,134.4011
"54",1252671,"2004-JUL-18",25.9492,0,0,1,"LARI","LAR",NA,91,0.833,6040000,370000,0.91,23.613772
"55",1252671,"2004-JUL-18",25.9492,0,0,2,"PICE","MAR",NA,9,0.167,6040000,370000,0.09,2.335428
"56",1252671,"2014-AUG-09",37.5726,0,1,1,"LARI","LAR",NA,67,0.84,6040000,370000,0.67,25.173642
"57",1252671,"2014-AUG-09",37.5726,0,1,2,"PICE","MAR",NA,33,0.16,6040000,370000,0.33,12.398958
"58",1252691,"2003-AUG-29",51.307,0,0,1,"ABIE","BAL",NA,99,0.933,6020000,440000,0.99,50.79393
"59",1252691,"2003-AUG-29",51.307,0,0,2,"PICE","GLA",NA,1,0.067,6020000,440000,0.01,0.51307
"60",1252691,"2015-AUG-31",48.4276,0,1,1,"ABIE","BAL",NA,100,1,6020000,440000,1,48.4276
"61",1252701,"2003-SEP-12",24.2727,0,0,1,"PICE","MAR",NA,100,1,6010000,480000,1,24.2727
"62",1252701,"2009-AUG-27",32.2014,0,1,1,"PICE","MAR",NA,100,1,6010000,480000,1,32.2014
"63",1252701,"2018-JUL-25",13.3096,0,2,1,"PICE","MAR",NA,100,0.5,6010000,480000,1,13.3096
"64",1252701,"2018-JUL-25",13.3096,0,2,2,"POPU","TRE",NA,0,0.5,6010000,480000,0,0
"65",1252711,"2003-SEP-25",115.8778,0,0,1,"POPU","TRE",NA,92,0.522,6000000,520000,0.92,106.607576
"66",1252711,"2003-SEP-25",115.8778,0,0,2,"ALNU","CRI",NA,8,0.478,6000000,520000,0.08,9.270224
"67",1252711,"2013-SEP-01",94.2057,0,1,1,"POPU","TRE",NA,100,0.833,6000000,520000,1,94.2057
"68",1252721,"2003-SEP-24",116.1985,0,0,1,"PICE","MAR",NA,100,1,5980000,560000,1,116.1985
"69",1252721,"2009-AUG-30",85.5987,0,1,1,"PICE","MAR",NA,100,1,5990000,560000,1,85.5987
"70",1252761,"2004-SEP-26",173.9027,0,0,1,"PICE","MAR",NA,100,0.971,5940000,310000,1,173.9027
"71",1252761,"2004-SEP-26",173.9027,0,0,2,"LARI","LAR",NA,1,0.029,5940000,310000,0.01,1.739027
"72",1252761,"2017-OCT-07",185.0177,0,1,1,"PICE","MAR",NA,99,0.951,5940000,710000,0.99,183.167523
"73",1252761,"2017-OCT-07",185.0177,0,1,2,"LARI","LAR",NA,1,0.049,5940000,710000,0.01,1.850177
"74",1266411,"2004-JUL-29",31.9386,0,0,1,"POPU","TRE",NA,67,0.615,6030000,670000,0.67,21.398862
