"","nfi_plot","meas_date","biomass_total","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","utm_n","utm_e","percent/100","percent/100 * biomass_total"
"70",1197741,"2003-JUN-17",3730.28,0,0,1,"LARI","LAR","",78.7,0.79,6060000,450000,0.787,2935.73036
"71",1197741,"2003-JUN-17",3730.28,0,0,2,"PICE","MAR","",21.3,0.21,6060000,450000,0.213,794.54964
"72",1197741,"2016-AUG-24",5264.01,0,1,2,"PICE","MAR","",15.5,0.154,6060000,450000,0.155,815.92155
"73",1197741,"2016-AUG-24",5264.01,0,1,1,"LARI","LAR","",84.5,0.846,6060000,450000,0.845,4448.08845
"74",1197751,"2003-JUN-23",259.18,0,0,1,"LARI","LAR","",79.5,0.75,6040000,490000,0.795,206.0481
"75",1197751,"2003-JUN-23",259.18,0,0,2,"PICE","MAR","",20.5,0.25,6040000,490000,0.205,53.1319
"76",1197751,"2016-AUG-12",156.43,0,1,1,"LARI","LAR","",83.4,0.8,6040000,490000,0.834,130.46262
"77",1197751,"2016-AUG-12",156.43,0,1,2,"PICE","MAR","",16.6,0.2,6040000,490000,0.166,25.96738
"78",1197761,"2003-AUG-17",4053.8,0,0,1,"PICE","MAR","",100,1,6030000,520000,1,4053.8
"79",1197761,"2017-JUL-09",5016.95,0,1,1,"PICE","MAR","",100,1,6030000,520000,1,5016.95
"80",1197766,"2003-JUL-15",4140.63,0,0,3,"BETU","PAP","PAP",8.5,0.105,6020000,540000,0.085,351.95355
"81",1197766,"2003-JUL-15",4140.63,0,0,2,"PICE","MAR","",40.9,0.329,6020000,540000,0.409,1693.51767
"82",1197766,"2003-JUL-15",4140.63,0,0,1,"LARI","LAR","",50.6,0.566,6020000,540000,0.506,2095.15878
"83",1204606,"2003-AUG-26",1258.7,0,0,2,"PINU","BAN","",35,0.2,6060000,390000,0.35,440.545
"84",1204606,"2003-AUG-26",1258.7,0,0,1,"PICE","MAR","",65,0.8,6060000,390000,0.65,818.155
"85",1204606,"2016-AUG-11",1879.32,0,1,1,"PICE","MAR","",62.7,0.818,6060000,390000,0.627,1178.33364
"86",1204606,"2016-AUG-11",1879.32,0,1,2,"PINU","BAN","",37.3,0.182,6060000,390000,0.373,700.98636
"87",1211511,"2004-JUN-13",97.7,0,0,1,"PICE","MAR","",100,1,6000000,470000,1,97.7
"88",1211511,"2016-AUG-09",257.3,0,1,2,"POPU","BAL","",22.3,0.231,6000000,470000,0.223,57.3779
"89",1211511,"2016-AUG-09",257.3,0,1,1,"PICE","MAR","",77.7,0.769,6000000,470000,0.777,199.9221
"90",1211561,"2004-JUN-12",24.3,0,0,1,"PICE","MAR","",100,1,5930000,660000,1,24.3
"91",1211561,"2017-JUL-11",17.86,0,1,1,"PICE","MAR","",100,1,5930000,660000,1,17.86
"92",1218376,"2003-AUG-28",2630.99,0,0,2,"LARI","LAR","",17.3,0.129,6010000,410000,0.173,455.16127
"93",1218376,"2003-AUG-28",2630.99,0,0,1,"PICE","MAR","",82.7,0.871,6010000,410000,0.827,2175.82873
"94",1218376,"2016-AUG-10",3292.13,0,1,1,"PICE","MAR","",81.9,0.885,6010000,410000,0.819,2696.25447
"95",1218376,"2016-AUG-10",3292.13,0,1,2,"LARI","LAR","",18.1,0.115,6010000,410000,0.181,595.87553
"96",1218396,"2004-JUN-09",7302.14,0,0,2,"POPU","TRE","",12.9,0.069,5980000,480000,0.129,941.97606
"97",1218396,"2004-JUN-09",7302.14,0,0,1,"PICE","MAR","",87.1,0.931,5980000,480000,0.871,6360.16394
"98",1225241,"2003-JUN-20",2350.2,0,0,1,"PICE","MAR","",74.3,0.865,6010000,340000,0.743,1746.1986
"99",1225241,"2003-JUN-20",2350.2,0,0,2,"POPU","TRE","",25.7,0.135,6010000,340000,0.257,604.0014
"100",1232216,"2003-AUG-27",1076.02,0,0,1,"PICE","MAR","",84.7,0.875,5850000,690000,0.847,911.38894
"101",1232216,"2003-AUG-27",1076.02,0,0,2,"LARI","LAR","",15.3,0.125,5850000,690000,0.153,164.63106
"102",1239011,"2003-AUG-30",4446.43,0,0,2,"SALI","SPP","",4.6,0.095,5960000,370000,0.046,204.53578
"103",1239011,"2003-AUG-30",4446.43,0,0,3,"ALNU","SPP","",0.7,0.048,5960000,370000,0.007,31.12501
"104",1239011,"2003-AUG-30",4446.43,0,0,1,"POPU","BAL","",94.7,0.857,5960000,370000,0.947,4210.76921
"105",1239011,"2013-SEP-05",5712.97,0,1,5,"ALNU","RUG","",1.2,0.051,5960000,370000,0.012,68.55564
"106",1239011,"2013-SEP-05",5712.97,0,1,6,"BETU","PAP","",0.8,0.026,5960000,370000,0.008,45.70376
"107",1239011,"2013-SEP-05",5712.97,0,1,2,"POPU","TRE","",6.2,0.154,5960000,370000,0.062,354.20414
"108",1239011,"2013-SEP-05",5712.97,0,1,1,"POPU","BAL","",83.3,0.615,5960000,370000,0.833,4758.90401
"109",1245881,"2003-AUG-29",4249.86,0,0,1,"POPU","TRE","",69.6,0.558,5960000,320000,0.696,2957.90256
"110",1245881,"2003-AUG-29",4249.86,0,0,3,"BETU","PAP","PAP",2.3,0.038,5960000,320000,0.023,97.74678
"111",1245881,"2003-AUG-29",4249.86,0,0,2,"PICE","GLA","",25.4,0.365,5960000,320000,0.254,1079.46444
"112",1245881,"2012-AUG-28",4994.46,0,1,2,"PICE","GLA","",32.8,0.357,5960000,320000,0.328,1638.18288
"113",1245881,"2012-AUG-28",4994.46,0,1,1,"POPU","TRE","",57.3,0.446,5960000,320000,0.573,2861.82558
"114",1245881,"2012-AUG-28",4994.46,0,1,5,"PICE","MAR","",1.7,0.036,5960000,320000,0.017,84.90582
"115",1245881,"2012-AUG-28",4994.46,0,1,3,"BETU","PAP","",4.2,0.089,5960000,320000,0.042,209.76732
