"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","biomass_composition"
"479",1142211,"2021-AUG-16",6654.51,1,1,"PICE","ENG","GLA",100,1,6520000,360000,6654.51
"480",1142316,"2003-JUL-30",30.73,0,1,"PINU","CON","LAT",100,1,6530000,440000,30.73
"481",1142316,"2020-JUL-06",262.94,1,1,"PICE","MAR",NA,62.7,0.778,6530000,440000,164.86338
"482",1142316,"2020-JUL-06",262.94,1,2,"PINU","CON",NA,37.3,0.222,6530000,440000,98.07662
"483",1142331,"2004-AUG-14",344.42,0,1,"PICE","MAR",NA,92.5,0.929,6520000,5e+05,318.5885
"484",1142331,"2004-AUG-14",344.42,0,2,"LARI","LAR",NA,7.5,0.071,6520000,5e+05,25.8315
"485",1142331,"2019-JUL-06",496.22,1,2,"LARI","LAR",NA,8.2,0.056,6520000,5e+05,40.69004
"486",1142331,"2019-JUL-06",496.22,1,1,"PICE","MAR",NA,91.8,0.944,6520000,5e+05,455.52996
"487",1142341,"2004-AUG-20",2026.31,0,1,"BETU","PAP",NA,83.9,0.5,6520000,540000,1700.07409
"488",1142341,"2004-AUG-20",2026.31,0,2,"PICE","GLA",NA,16.1,0.5,6520000,540000,326.23591
"489",1142341,"2019-JUL-23",2033.21,1,2,"PICE","GLA",NA,34.4,0.5,6520000,540000,699.42424
"490",1142341,"2019-JUL-23",2033.21,1,1,"BETU","PAP",NA,65.6,0.5,6520000,540000,1333.78576
"491",1149076,"2001-AUG-23",176.06,0,1,"ABIE","LAS",NA,100,1,6490000,650000,176.06
"492",1149076,"2021-JUL-22",1750.14,1,1,"ABIE","LAS",NA,100,1,6490000,650000,1750.14
"493",1149111,"2003-JUL-26",1910.82,0,1,"PICE","SPP",NA,90.4,0.773,6500000,440000,1727.38128
"494",1149111,"2003-JUL-26",1910.82,0,2,"ABIE","LAS",NA,9.6,0.227,6500000,440000,183.43872
"495",1149111,"2021-AUG-18",1961.52,1,2,"ABIE","LAS",NA,19.8,0.346,6500000,440000,388.38096
"496",1149111,"2021-AUG-18",1961.52,1,1,"PICE","SPP",NA,80.2,0.654,6500000,440000,1573.13904
"497",1149116,"2002-JUL-23",6433.91,0,2,"PICE","SPP",NA,4.2,0.027,6500000,460000,270.22422
"498",1149116,"2002-JUL-23",6433.91,0,1,"ABIE","LAS",NA,95.8,0.973,6500000,460000,6163.68578
"499",1149116,"2021-JUL-16",7677.28,1,2,"PICE","SPP",NA,4.4,0.029,6500000,460000,337.80032
"500",1149116,"2021-JUL-16",7677.28,1,1,"ABIE","LAS",NA,95.6,0.971,6500000,460000,7339.47968
"501",1149246,"2001-JUL-19",947.31,0,1,"LARI","LAR",NA,100,1,6500000,640000,947.31
"502",1149246,"2019-JUL-11",899.1,1,1,"LARI","LAR",NA,100,1,6500000,640000,899.1
"503",1156121,"2003-JUN-18",4197.64,0,3,"PICE","GLA",NA,14.8,0.073,6480000,610000,621.25072
"504",1156121,"2003-JUN-18",4197.64,0,1,"PICE","MAR",NA,57.7,0.78,6480000,610000,2422.03828
"505",1156121,"2003-JUN-18",4197.64,0,2,"LARI","LAR",NA,27.5,0.146,6480000,610000,1154.351
"506",1156121,"2019-JUL-12",5177.31,1,1,"PICE","MAR",NA,52.8,0.783,6480000,610000,2733.61968
"507",1156121,"2019-JUL-12",5177.31,1,2,"LARI","LAR",NA,29.7,0.13,6480000,610000,1537.66107
"508",1156121,"2019-JUL-12",5177.31,1,4,"BETU","NEO",NA,0.7,0.022,6480000,610000,36.24117
"509",1156121,"2019-JUL-12",5177.31,1,3,"PICE","GLA",NA,16.8,0.065,6480000,610000,869.78808
