"","nfi_plot","meas_date","biomass_total","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","utm_n","utm_e","percent/100","percent/100 * biomass_total"
"16",1225141,"2011-JUL-14",510.84,0,1,2,"LARI","LAR",NA,24.1,0.211,6130000,350000,0.241,123.11244
"17",1225161,"2003-SEP-13",1329.06,0,0,1,"PICE","MAR",NA,81.7,0.925,6110000,430000,0.817,1085.84202
"18",1225161,"2003-SEP-13",1329.06,0,0,2,"LARI","LAR",NA,18.3,0.075,6110000,430000,0.183,243.21798
"19",1225161,"2009-AUG-29",1525.65,0,1,1,"PICE","MAR",NA,80.9,0.925,6110000,430000,0.809,1234.25085
"20",1225161,"2009-AUG-29",1525.65,0,1,2,"LARI","LAR",NA,19.1,0.075,6110000,430000,0.191,291.39915
"21",1225161,"2019-AUG-28",1454.38,0,2,1,"PICE","MAR",NA,78.7,0.927,6110000,430000,0.787,1144.59706
"22",1225161,"2019-AUG-28",1454.38,0,2,2,"LARI","LAR",NA,21.3,0.073,6110000,430000,0.213,309.78294
"23",1225181,"2003-SEP-15",832.46,0,0,1,"PICE","MAR",NA,100,1,6080000,510000,1,832.46
"24",1225181,"2012-AUG-11",1125.12,0,1,1,"PICE","MAR",NA,100,1,6080000,510000,1,1125.12
"25",1225201,"2003-SEP-26",2439.87,0,0,1,"PINU","BAN",NA,100,1,6060000,580000,1,2439.87
"26",1225201,"2009-AUG-30",3031.94,0,1,1,"PINU","BAN",NA,100,1,6060000,580000,1,3031.94
"27",1225201,"2019-AUG-27",3550.65,0,2,1,"PINU","BAN",NA,100,1,6060000,580000,1,3550.65
"28",1238891,"2004-JUL-27",1032.56,0,0,1,"PICE","MAR",NA,97.3,0.955,6110000,690000,0.973,1004.68088
"29",1238891,"2004-JUL-27",1032.56,0,0,2,"PINU","BAN",NA,2.7,0.045,6110000,690000,0.027,27.87912
"30",1238891,"2012-AUG-07",1326.92,0,1,1,"PICE","MAR",NA,96.1,0.939,6110000,690000,0.961,1275.17012
"31",1238891,"2012-AUG-07",1326.92,0,1,2,"PINU","BAN",NA,3.9,0.061,6110000,690000,0.039,51.74988
"32",1238901,"2004-JUL-28",4468.93,0,0,1,"PICE","MAR",NA,62.4,0.655,6090000,340000,0.624,2788.61232
"33",1238901,"2004-JUL-28",4468.93,0,0,2,"PINU","BAN",NA,37.6,0.345,6090000,340000,0.376,1680.31768
"34",1238901,"2014-AUG-11",4451.52,0,1,1,"PICE","MAR",NA,66.8,0.69,6090000,340000,0.668,2973.61536
"35",1238901,"2014-AUG-11",4451.52,0,1,2,"PINU","BAN",NA,33.2,0.31,6090000,340000,0.332,1477.90464
"36",1238911,"2006-SEP-09",74.33,0,0,1,"LARI","LAR",NA,100,1,6080000,380000,1,74.33
"37",1238911,"2011-JUL-15",98.78,0,1,1,"LARI","LAR",NA,100,1,6080000,380000,1,98.78
"38",1238931,"2006-SEP-08",3521.6,0,0,5,"SALI","SPP",NA,1.6,0.05,6060000,460000,0.016,56.3456
"39",1238931,"2012-AUG-10",3221.06,0,1,3,"POPU","BAL",NA,7.8,0.056,6060000,460000,0.078,251.24268
"40",1238941,"2003-SEP-27",7563.47,0,0,1,"POPU","TRE",NA,89.3,0.824,6050000,490000,0.893,6754.17871
"41",1238941,"2003-SEP-27",7563.47,0,0,2,"PINU","BAN",NA,10.7,0.176,6050000,490000,0.107,809.29129
"42",1238941,"2013-SEP-02",8566.26,0,1,1,"POPU","TRE",NA,96.2,0.925,6050000,490000,0.962,8240.74212
"43",1238941,"2013-SEP-02",8566.26,0,1,2,"PINU","BAN",NA,3.8,0.075,6050000,490000,0.038,325.51788
