"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"21",1238891,0,0,3,"SALI","SPP",NA,0,0.012,"2004-JUL-27",6110000,690000
"22",1238891,0,1,1,"PICE","MAR",NA,94,0.938,"2012-AUG-07",6110000,690000
"23",1238891,0,1,2,"PINU","BAN",NA,6,0.062,"2012-AUG-07",6110000,690000
"24",1238901,0,0,1,"PICE","MAR",NA,100,1,"2004-JUL-28",6090000,340000
"25",1238901,0,1,1,"PICE","MAR",NA,100,1,"2014-AUG-11",6090000,340000
"26",1238911,0,0,1,"LARI","LAR",NA,73,0.586,"2006-SEP-09",6080000,380000
"27",1238911,0,0,2,"PICE","MAR",NA,26,0.379,"2006-SEP-09",6080000,380000
"28",1238911,0,0,3,"BETU","SPP",NA,1,0.034,"2006-SEP-09",6080000,380000
"29",1238911,0,1,1,"LARI","LAR",NA,60,0.5,"2011-JUL-15",6080000,380000
"30",1238911,0,1,2,"PICE","MAR",NA,40,0.5,"2011-JUL-15",6080000,380000
"31",1238921,0,0,1,"BETU","PUM",NA,90,0.9,"2004-SEP-08",6070000,420000
"32",1238921,0,0,2,"PICE","MAR",NA,10,0.1,"2004-SEP-08",6070000,420000
"33",1238921,0,1,1,"PINU","BAN",NA,99,0.97,"2016-SEP-06",6070000,420000
"34",1238921,0,1,2,"PICE","MAR",NA,1,0.03,"2016-SEP-06",6070000,420000
"35",1238931,0,0,1,"ALNU","INC",NA,38,0.375,"2006-SEP-08",6060000,460000
"36",1238931,0,0,2,"BETU","PAP",NA,29,0.292,"2006-SEP-08",6060000,460000
"37",1238931,0,0,3,"POPU","TRE",NA,21,0.208,"2006-SEP-08",6060000,460000
"38",1238931,0,0,4,"SALI","SPP",NA,13,0.125,"2006-SEP-08",6060000,460000
"39",1238931,0,1,3,"PICE","MAR",NA,21,0.075,"2012-AUG-10",6060000,460000
"40",1238931,0,1,4,"POPU","TRE",NA,1,0.075,"2012-AUG-10",6060000,460000
