"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"170",1300611,"2001-JUL-29",77.1844,0,0,2,"PICE","ENG","",7,0.037,6060000,640000,0.07,5.402908
"171",1300611,"2019-JUL-31",86.1577,0,1,1,"ABIE","LAS","",100,1,6060000,640000,1,86.1577
"172",1307371,"2003-JUL-25",146.8646,0,0,2,"ABIE","LAS","",28,0.182,6040000,540000,0.28,41.122088
"173",1307371,"2003-JUL-25",146.8646,0,0,1,"TSUG","MER","",72,0.818,6040000,540000,0.72,105.742512
"174",1307371,"2017-AUG-16",44.9936,0,1,2,"ABIE","LAS","",1,0.2,6040000,540000,0.01,0.449936
"175",1307371,"2017-AUG-16",44.9936,0,1,1,"TSUG","MER","",99,0.8,6040000,540000,0.99,44.543664
"176",1307401,"2001-AUG-28",2.9176,0,0,1,"ABIE","LAS","",100,1,6050000,660000,1,2.9176
"177",1307401,"2017-JUL-10",6.0277,0,1,1,"ABIE","LAS","",100,1,6050000,660000,1,6.0277
"178",1307451,"2001-JUN-15",120.2541,0,0,1,"ABIE","LAS","",100,1,6040000,480000,1,120.2541
"179",1307451,"2014-AUG-26",35.6437,0,1,1,"ABIE","LAS","",84,0.857,6040000,480000,0.84,29.940708
"180",1307451,"2014-AUG-26",35.6437,0,1,2,"PICE","ENG","GLA",16,0.143,6040000,480000,0.16,5.702992
"181",1314251,"2003-JUL-23",176.6579,0,0,2,"ABIE","AMA","",32,0.118,6020000,540000,0.32,56.530528
"182",1314251,"2003-JUL-23",176.6579,0,0,1,"TSUG","MER","",39,0.882,6020000,540000,0.39,68.896581
"183",1314251,"2017-JUL-27",90.2362,0,1,2,"ABIE","AMA","",44,0.2,6020000,540000,0.44,39.703928
"184",1314251,"2017-JUL-27",90.2362,0,1,1,"TSUG","MER","",57,0.8,6020000,540000,0.57,51.434634
"185",1314291,"2002-JUN-27",49.5062,0,0,1,"PINU","CON","",100,1,6030000,320000,1,49.5062
"186",1314291,"2017-AUG-20",0.1417,0,1,1,"PINU","CON","",100,1,6030000,320000,1,0.1417
"187",1314311,"2002-AUG-12",26.0265,0,0,3,"PICE","ENG","GLA",15,0.125,6030000,400000,0.15,3.903975
"188",1314311,"2002-AUG-12",26.0265,0,0,1,"PINU","CON","LAT",66,0.75,6030000,400000,0.66,17.17749
"189",1314311,"2002-AUG-12",26.0265,0,0,2,"ABIE","LAS","",20,0.125,6030000,400000,0.2,5.2053
"190",1314311,"2014-JUL-21",16.8874,0,1,1,"PINU","CON","",100,1,6030000,400000,1,16.8874
"191",1314351,"2002-AUG-14",10.266,0,0,1,"PICE","ENG","GLA",100,1,6020000,560000,1,10.266
"192",1314351,"2014-AUG-18",43.4155,0,1,1,"PICE","ENG","GLA",100,1,6020000,560000,1,43.4155
"193",1321206,"2004-AUG-24",1.443,0,0,1,"POPU","TRE","",100,1,6000000,450000,1,1.443
"194",1321206,"2014-JUL-27",0.164,0,1,2,"PICE","ENG","GLA",36,0.25,6000000,450000,0.36,0.05904
"195",1321206,"2014-JUL-27",0.164,0,1,1,"POPU","TRE","",64,0.75,6000000,450000,0.64,0.10496
"196",1321236,"2003-JUL-14",57.3112,0,0,1,"ABIE","LAS","",62,0.75,6000000,570000,0.62,35.532944
"197",1321236,"2003-JUL-14",57.3112,0,0,2,"PICE","ENG","GLA",38,0.25,6000000,570000,0.38,21.778256
"198",1321236,"2014-AUG-18",0.1713,0,1,1,"ABIE","LAS","",100,1,6000000,570000,1,0.1713
"199",1328041,"2003-SEP-04",75.5571,0,0,1,"PICE","ENG","GLA",100,1,5990000,670000,1,75.5571
"200",1328086,"2002-AUG-13",11.8196,0,0,2,"PINU","CON","",42,0.091,5980000,450000,0.42,4.964232
"201",1328086,"2002-AUG-13",11.8196,0,0,1,"PICE","ENG","GLA",58,0.909,5980000,450000,0.58,6.855368
"202",1328086,"2014-JUL-19",18.1847,0,1,1,"PINU","CON","",100,1,5980000,450000,1,18.1847
"203",1334986,"2003-JUL-22",223.8223,0,0,1,"PICE","ENG","GLA",87,0.818,5960000,530000,0.87,194.725401
"204",1334986,"2014-AUG-09",27.2666,0,1,1,"PICE","ENG","GLA",100,1,5960000,530000,1,27.2666
"205",1335001,"2003-JUL-21",22.6807,0,0,1,"ABIE","LAS","",100,1,5960000,590000,1,22.6807
"206",1335001,"2014-AUG-17",26.149,0,1,1,"ABIE","LAS","",83,0.8,5960000,590000,0.83,21.70367
"207",1335001,"2014-AUG-17",26.149,0,1,2,"PICE","ENG","",17,0.2,5960000,590000,0.17,4.44533
"208",1341751,"2003-JUL-28",259.941,0,0,1,"CHAM","NOO","",71,0.755,5940000,470000,0.71,184.55811
"209",1341751,"2003-JUL-28",259.941,0,0,2,"TSUG","MER","",18,0.226,5940000,470000,0.18,46.78938
"210",1341751,"2003-JUL-28",259.941,0,0,3,"TSUG","HET","",11,0.019,5940000,470000,0.11,28.59351
"211",1341776,"2003-JUL-27",108.9967,0,0,1,"TSUG","HET","",93,0.722,5940000,570000,0.93,101.366931
"212",1341776,"2003-JUL-27",108.9967,0,0,2,"TSUG","MER","",7,0.278,5940000,570000,0.07,7.629769
"213",1341776,"2017-AUG-10",49.1882,0,1,2,"TSUG","MER","",16,0.25,5940000,570000,0.16,7.870112
"214",1341776,"2017-AUG-10",49.1882,0,1,1,"TSUG","HET","",84,0.75,5940000,570000,0.84,41.318088
"215",1348741,"2003-JUL-18",82.502,0,0,1,"ABIE","LAS","",87,0.984,5920000,510000,0.87,71.77674
"216",1348741,"2003-JUL-18",82.502,0,0,2,"BETU","PAP","",14,0.016,5920000,510000,0.14,11.55028
"217",1348741,"2014-AUG-15",36.0056,0,1,1,"ABIE","LAS","",100,1,5920000,510000,1,36.0056
"218",1348746,"2003-JUN-24",93.7609,0,0,2,"PICE","ENG","GLA",35,0.059,5920000,530000,0.35,32.816315
"219",1348746,"2003-JUN-24",93.7609,0,0,1,"PSEU","MEN","GLA",65,0.941,5920000,530000,0.65,60.944585
"220",1348746,"2009-AUG-04",83.0015,0,1,3,"ABIE","LAS","",9,0.156,5920000,530000,0.09,7.470135
"221",1348746,"2014-JUL-16",42.4159,0,2,1,"ABIE","LAS","",61,0.667,5920000,530000,0.61,25.873699
"222",1348756,"2009-AUG-05",7.4848,0,1,1,"PICE","ENG","",100,1,5920000,570000,1,7.4848
"223",1348756,"2014-AUG-30",54.3783,0,2,1,"PICE","ENG","GLA",100,1,5920000,570000,1,54.3783
"224",1355561,"2002-JUN-29",43.1299,0,0,1,"ABIE","LAS","",66,0.875,5910000,670000,0.66,28.465734
"225",1355561,"2002-JUN-29",43.1299,0,0,2,"PICE","SPP","",34,0.125,5910000,670000,0.34,14.664166
"226",1355561,"2017-JUL-18",0.7509,0,1,1,"ABIE","LAS","",100,1,5910000,670000,1,0.7509
"227",1355591,"2003-JUN-17",1.443,0,0,1,"POPU","TRE","",100,1,5910000,390000,1,1.443
"228",1355591,"2014-JUL-28",72.9758,0,1,1,"POPU","TRE","",52,0.536,5910000,390000,0.52,37.947416
