"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"412",1452066,"2002-JUL-10",0,0.52,0.75,0.38,0,0,0
"413",1458736,"2002-JUN-29",0,0.22,0.2,0.48,0,0,0
"414",1458736,"2009-AUG-26",1,0.17,0.25,0.26,0,0,0
"415",1458736,"2016-JUL-01",2,0.18,0.26,0.26,0,0,0
"416",1458761,"2001-OCT-04",0,0.89,0.64,0.87,0,0,0
"417",1458861,"2000-JUL-24",0,0.26,0.37,0.3,0,0,0
"418",1458861,"2014-JUN-26",1,0.26,0.38,0.3,0,0,0
"419",1458951,"2001-MAY-26",0,0.38,0.35,0.66,0,0,0
"420",1458951,"2016-JUL-12",1,0.27,0.25,0.57,0,0,0
"421",1465656,"2000-SEP-15",0,0.55,0.5,0.55,0,0,0
"422",1465691,"2001-AUG-30",0,0.85,0.77,0.66,0,0,0
"423",1465761,"2002-JUN-20",0,0.54,0.78,0.39,0,0,0
"424",1465761,"2015-AUG-05",1,0,0,0,0.5,0.72,0.62
"425",1465781,"2003-JUL-16",0,0,0,0,0,0,0
"426",1465781,"2015-JUL-14",1,0,0,0,0,0,0
"427",1465821,"2003-AUG-19",0,1.46,0.81,1.57,1.14,0.83,0.84
"428",1465841,"2001-MAY-28",0,0.69,0.99,0.3,0,0,0
"429",1465841,"2016-JUL-03",1,0.69,1,0.31,0,0,0
"430",1472531,"2003-JUL-03",0,0,0,0,0,0,0
"431",1472531,"2016-JUN-30",1,0,0,0,0.45,0.65,0.56
"432",1472541,"2000-SEP-16",0,1.1,1,1.82,0.6,0.86,0.51
"433",1472691,"2001-MAY-30",0,1.07,0.67,1.11,0.69,1,1.44
"434",1472691,"2016-JUL-09",1,1.04,0.75,0.92,0,0,0
"435",1472701,"2000-SEP-11",0,0.81,0.74,0.54,0.5,0.72,0.43
"436",1472701,"2016-JUL-07",1,0.96,0.7,0.79,0,0,0
"437",1479401,"2001-JUN-06",0,0.89,0.65,0.9,0.81,0.73,0.42
"438",1479401,"2009-AUG-25",1,0.91,0.65,0.9,0.51,0.47,0.49
"439",1479401,"2016-JUN-27",2,0.66,0.6,0.62,0.69,0.99,0.32
"440",1479406,"2002-JUL-06",0,1.57,0.88,1.5,1.24,0.77,0.89
"441",1479406,"2016-JUN-29",1,1.56,0.87,1.46,1.28,0.92,1.08
"442",1479486,"2002-JUL-22",0,0.69,1,0.27,0,0,0
"443",1479486,"2016-AUG-08",1,0.45,0.65,0.31,0,0,0
"444",1479561,"2002-JUL-11",0,1.46,0.91,1.82,0,0,0
"445",1479561,"2015-JUL-17",1,1.56,0.97,1.92,0,0,0
"446",1479566,"2004-JUL-28",0,0.39,0.35,0.59,0.48,0.35,0.75
"447",1479566,"2015-JUL-22",1,0.22,0.31,0.28,0.11,0.15,0.26
"448",1479586,"2002-JUL-09",0,0.48,0.7,0.36,0,0,0
"449",1479586,"2016-JUN-30",1,0.66,0.6,0.76,0,0,0
"450",1486291,"2002-JUL-16",0,0.57,0.51,0.8,0.54,0.77,0.32
"451",1486291,"2016-AUG-12",1,0.47,0.42,0.72,0,0,0
"452",1486426,"2003-AUG-21",0,1.26,0.79,1.56,0,0,0
"453",1486426,"2015-JUL-15",1,1.52,0.95,1.82,1.3,0.8,1.67
"454",1486451,"2000-SEP-08",0,0.25,0.37,0.27,0,0,0
"455",1486451,"2016-JUL-11",1,0.13,0.19,0.28,0,0,0
"456",1486471,"2002-JUL-08",0,0.69,1,0.39,0,0,0
"457",1486471,"2016-JUL-02",1,0.64,0.92,0.46,0,0,0
"458",1486476,"2000-SEP-12",0,0.42,0.38,0.44,0.99,0.71,0.73
"459",1486476,"2016-JUL-01",1,0.43,0.39,0.44,0,0,0
"460",1493196,"2003-JUL-05",0,0.57,0.52,0.61,0,0,0
"461",1493211,"2003-JUL-07",0,1.11,0.8,0.82,0,0,0
"462",1493241,"2001-OCT-01",0,0.8,0.73,0.5,0.63,0.91,0.22
"463",1493241,"2009-AUG-28",1,0.71,0.65,0.52,0.65,0.94,0.24
"464",1493241,"2016-AUG-07",2,0.66,0.6,0.52,0.43,0.62,0.39
"465",1493286,"2000-AUG-23",0,0,0,0,0,0,0
"466",1493286,"2015-AUG-11",1,0,0,0,0,0,0
"467",1493316,"2003-JUN-20",0,0.63,0.57,0.49,1.05,0.95,0.57
"468",1493316,"2015-JUL-19",1,0.62,0.57,0.49,1.04,0.95,0.96
"469",1493341,"2003-AUG-18",0,0.6,0.55,0.72,0,0,0
"470",1493381,"2004-JUL-30",0,0.45,0.41,0.55,0,0,0
"471",1493381,"2016-JUL-05",1,0.38,0.35,0.54,0,0,0
"472",1500046,"2003-JUL-09",0,1.22,0.88,0.77,1.2,0.87,0.88
"473",1500046,"2016-AUG-05",1,1.18,0.85,0.78,1.05,0.96,0.87
"474",1500051,"2005-JUL-03",0,1.01,0.92,0.56,0,0,0
"475",1500051,"2016-AUG-11",1,0.98,0.89,0.55,0,0,0
"476",1500066,"2002-JUL-17",0,1.06,0.76,0.87,0.56,0.81,0.4
"477",1500066,"2016-AUG-04",1,1.03,0.75,0.86,1,0.72,1.37
"478",1500201,"2002-JUL-12",0,1.28,0.8,1.2,0.69,1,0.37
"479",1500201,"2015-JUL-20",1,1.13,0.81,0.9,0.97,0.89,0.96
"480",1500241,"2004-JUL-29",0,1.04,0.94,0.65,1.03,0.94,0.87
"481",1500241,"2016-JUL-06",1,1.03,0.94,0.59,0.69,1,1.44
