"","nfi_plot","loc_id","meas_num","genus","species","variety","species_num","species_strel","smtree_species_num","smtree_percent","meas_date","utm_n","utm_e"
"26",1170036,0,0,"PICE","MAR",NA,1,1,1,100,"2007-JUN-03",6350000,510000
"27",1170041,0,0,"LARI","LAR",NA,1,0.59,1,81,"2011-MAY-31",6340000,530000
"28",1170041,0,0,"PICE","MAR",NA,4,0.026,4,0,"2011-MAY-31",6340000,530000
"29",1170041,0,0,"PINU","BAN",NA,2,0.231,2,17,"2011-MAY-31",6340000,530000
"30",1170041,0,0,"POPU","BAL",NA,3,0.128,3,2,"2011-MAY-31",6340000,530000
"31",1176851,0,0,"LARI","LAR",NA,2,0.286,2,20,"2013-MAY-31",6380000,610000
"32",1176851,0,0,"PICE","MAR",NA,1,0.714,1,80,"2013-MAY-31",6380000,610000
"33",1176881,0,0,"PICE","GLA",NA,1,0.543,1,49,"2008-MAY-31",6360000,370000
"34",1176881,0,0,"PICE","MAR",NA,4,0.057,4,5,"2008-MAY-31",6360000,370000
"35",1176881,0,0,"PINU","BAN",NA,3,0.114,3,19,"2008-MAY-31",6360000,370000
"36",1176881,0,0,"POPU","TRE",NA,2,0.286,2,28,"2008-MAY-31",6360000,370000
"37",1176926,0,0,"PINU","BAN",NA,1,1,1,100,"2011-JUN-10",6320000,550000
"38",1183726,0,0,"PICE","GLA",NA,1,1,1,100,"2013-MAY-31",6360000,590000
"39",1183746,0,0,"PICE","GLA",NA,2,0.233,3,25,"2006-AUG-23",6350000,670000
"40",1183746,0,0,"PICE","MAR",NA,1,0.651,1,38,"2006-AUG-23",6350000,670000
"41",1183746,0,0,"PINU","BAN",NA,4,0.014,4,5,"2006-AUG-23",6350000,670000
"42",1183746,0,0,"POPU","TRE",NA,3,0.103,2,33,"2006-AUG-23",6350000,670000
"43",1183781,0,0,"BETU","PAP",NA,2,0.333,3,1,"2012-MAY-24",6320000,450000
"44",1183781,0,0,"PICE","GLA",NA,1,0.6,1,92,"2012-MAY-24",6320000,450000
"45",1183781,0,0,"POPU","TRE",NA,3,0.067,2,7,"2012-MAY-24",6320000,450000
"46",1190541,0,0,"PICE","MAR",NA,1,0.961,1,98,"2006-SEP-01",6370000,330000
"47",1190541,0,0,"POPU","TRE",NA,2,0.02,2,2,"2006-SEP-01",6370000,330000
"48",1190541,0,0,"SALI","SPP",NA,3,0.02,3,0,"2006-SEP-01",6370000,330000
"49",1190646,0,0,"LARI","LAR",NA,1,0.795,2,45,"2008-MAY-27",6310000,380000
"50",1190646,0,0,"PICE","MAR",NA,2,0.205,1,55,"2008-MAY-27",6310000,380000
"51",1190661,0,0,"LARI","LAR",NA,2,0.065,3,2,"2006-AUG-25",6300000,440000
"52",1190661,0,0,"PICE","MAR",NA,1,0.918,1,94,"2006-AUG-25",6300000,440000
"53",1190661,0,0,"POPU","TRE",NA,3,0.016,2,4,"2006-AUG-25",6300000,440000
"54",1190661,1,0,"LARI","LAR",NA,2,0.024,4,2,"2012-MAY-25",6300000,440000
"55",1190661,1,0,"PICE","MAR",NA,1,0.941,1,94,"2012-MAY-25",6300000,440000
"56",1190661,1,0,"POPU","BAL",NA,4,0.012,3,2,"2012-MAY-25",6300000,440000
"57",1190661,1,0,"POPU","TRE",NA,3,0.024,2,2,"2012-MAY-25",6300000,440000
"58",1197546,0,0,"PICE","MAR",NA,1,0.857,1,100,"2014-MAY-31",6280000,460000
"59",1197561,0,0,"PICE","GLA",NA,1,0.6,2,48,"2007-JUN-02",6260000,520000
"60",1197561,0,0,"PICE","MAR",NA,2,0.4,1,52,"2007-JUN-02",6260000,520000
"61",1204331,0,0,"BETU","PAP",NA,2,0.3,2,34,"2006-AUG-20",6250000,470000
"62",1204331,0,0,"PICE","GLA",NA,1,0.5,1,41,"2006-AUG-20",6250000,470000
"63",1204331,0,0,"POPU","BAL",NA,3,0.2,3,26,"2006-AUG-20",6250000,470000
"64",1204411,0,0,"LARI","LAR",NA,2,0.191,2,2,"2009-MAY-31",6270000,390000
"65",1204411,0,0,"PICE","MAR",NA,1,0.809,1,99,"2009-MAY-31",6270000,390000
"66",1204446,0,0,"PICE","MAR",NA,1,1,1,100,"2007-JUN-01",6240000,530000
"67",1211291,0,0,"ABIE","BAL",NA,1,1,1,100,"2009-MAY-30",6250000,390000
"68",1218066,0,0,"LARI","LAR",NA,2,0.052,2,3,"2012-MAY-31",6290000,340000
"69",1218066,0,0,"PICE","MAR",NA,1,0.948,1,97,"2012-MAY-31",6290000,340000
"70",1218151,0,0,"PICE","GLA",NA,1,0.5,1,90,"2013-MAY-28",6250000,680000
"71",1218151,0,0,"POPU","TRE",NA,2,0.5,2,11,"2013-MAY-28",6250000,680000
"72",1218186,0,0,"BETU","PAP",NA,3,0.091,5,4,"2012-JUN-01",6220000,440000
"73",1218186,0,0,"PICE","GLA",NA,2,0.182,4,5,"2012-JUN-01",6220000,440000
"74",1218186,0,0,"PINU","BAN",NA,4,0.091,3,12,"2012-JUN-01",6220000,440000
"75",1218186,0,0,"POPU","BAL",NA,5,0.091,2,36,"2012-JUN-01",6220000,440000
"76",1218186,0,0,"POPU","TRE",NA,1,0.545,1,44,"2012-JUN-01",6220000,440000
"77",1225056,0,0,"PICE","GLA",NA,3,0.05,3,0,"2007-MAY-30",6210000,400000
"78",1225056,0,0,"POPU","BAL",NA,1,0.8,1,57,"2007-MAY-30",6210000,400000
"79",1225056,0,0,"POPU","TRE",NA,2,0.15,2,42,"2007-MAY-30",6210000,400000
"80",1231871,0,0,"PINU","BAN",NA,1,1,1,100,"2006-SEP-03",6230000,510000
"81",1231906,0,0,"LARI","LAR",NA,2,0.4,2,11,"2013-MAY-31",6210000,650000
"82",1231906,0,0,"PICE","MAR",NA,1,0.6,1,89,"2013-MAY-31",6210000,650000
"83",1231971,0,0,"LARI","LAR",NA,1,0.917,1,75,"2013-MAY-27",6160000,530000
"84",1231971,0,0,"PICE","MAR",NA,2,0.083,2,25,"2013-MAY-27",6160000,530000
"85",1245596,0,0,"PICE","GLA",NA,1,0.5,2,43,"2006-AUG-19",6210000,370000
"86",1245596,0,0,"POPU","TRE",NA,2,0.5,1,57,"2006-AUG-19",6210000,370000
"87",1245596,1,0,"PICE","GLA",NA,2,0.444,1,89,"2012-JUN-16",6210000,370000
"88",1245596,1,0,"POPU","TRE",NA,1,0.556,2,11,"2012-JUN-16",6210000,370000
"89",1245626,0,0,"BETU","NEO",NA,1,0.667,1,77,"2014-MAY-31",6190000,490000
"90",1245626,0,0,"PICE","MAR",NA,3,0.121,3,10,"2014-MAY-31",6190000,490000
"91",1245626,0,0,"POPU","TRE",NA,2,0.212,2,13,"2014-MAY-31",6190000,490000
"92",1245631,0,0,"PICE","MAR",NA,2,0.064,2,31,"2006-SEP-02",6190000,510000
"93",1245631,0,0,"SALI","SPP",NA,1,0.936,1,69,"2006-SEP-02",6190000,510000
"94",1245631,1,0,"PICE","MAR",NA,1,1,1,100,"2013-JUN-01",6190000,510000
"95",1245691,0,0,"BETU","PAP",NA,3,0.05,4,4,"2006-AUG-31",6150000,370000
"96",1245691,0,0,"PICE","GLA",NA,2,0.25,2,23,"2006-AUG-31",6150000,370000
"97",1245691,0,0,"PICE","MAR",NA,1,0.65,1,67,"2006-AUG-31",6150000,370000
"98",1245691,0,0,"POPU","BAL",NA,4,0.05,3,6,"2006-AUG-31",6150000,370000
"99",1245691,1,0,"PICE","GLA",NA,2,0.2,4,1,"2013-MAY-31",6150000,370000
"100",1245691,1,0,"PICE","MAR",NA,1,0.4,2,16,"2013-MAY-31",6150000,370000
"101",1245691,1,0,"POPU","BAL",NA,3,0.2,3,3,"2013-MAY-31",6150000,370000
"102",1245691,1,0,"POPU","TRE",NA,4,0.2,1,81,"2013-MAY-31",6150000,370000
"103",1245706,0,0,"PICE","MAR",NA,2,0.472,2,13,"2009-JUN-20",6140000,430000
"104",1245706,0,0,"PINU","BAN",NA,1,0.528,1,87,"2009-JUN-20",6140000,430000
"105",1252466,0,0,"BETU","PAP",NA,1,0.5,3,11,"2012-JUN-11",6190000,330000
"106",1252466,0,0,"PICE","GLA",NA,3,0.125,4,2,"2012-JUN-11",6190000,330000
"107",1252466,0,0,"POPU","BAL",NA,4,0.125,2,31,"2012-JUN-11",6190000,330000
"108",1252466,0,0,"POPU","TRE",NA,2,0.25,1,56,"2012-JUN-11",6190000,330000
"109",1252516,0,0,"BETU","PAP",NA,2,0.077,3,16,"2013-JUN-04",6170000,530000
"110",1252516,0,0,"PICE","GLA",NA,3,0.077,2,41,"2013-JUN-04",6170000,530000
"111",1252516,0,0,"POPU","TRE",NA,1,0.846,1,43,"2013-JUN-04",6170000,530000
"112",1252521,0,0,"BETU","PAP",NA,1,1,1,100,"2013-JUN-16",6160000,550000
