"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"149",1239011,0,0,2,"SALI","SPP","",4.6,0.095,"2003-AUG-30",5960000,370000
"150",1239011,0,0,3,"ALNU","SPP","",0.7,0.048,"2003-AUG-30",5960000,370000
"151",1239011,0,1,1,"POPU","BAL","",83.3,0.615,"2013-SEP-05",5960000,370000
"152",1239011,0,1,2,"POPU","TRE","",6.2,0.154,"2013-SEP-05",5960000,370000
"153",1239011,0,1,5,"ALNU","RUG","",1.2,0.051,"2013-SEP-05",5960000,370000
"154",1239011,0,1,6,"BETU","PAP","",0.8,0.026,"2013-SEP-05",5960000,370000
"155",1245881,0,0,1,"POPU","TRE","",69.6,0.558,"2003-AUG-29",5960000,320000
"156",1245881,0,0,2,"PICE","GLA","",25.4,0.365,"2003-AUG-29",5960000,320000
"157",1245881,0,0,3,"BETU","PAP","PAP",2.3,0.038,"2003-AUG-29",5960000,320000
"158",1245881,0,1,1,"POPU","TRE","",57.3,0.446,"2012-AUG-28",5960000,320000
"159",1245881,0,1,2,"PICE","GLA","",32.8,0.357,"2012-AUG-28",5960000,320000
"160",1245881,0,1,3,"BETU","PAP","",4.2,0.089,"2012-AUG-28",5960000,320000
"161",1245881,0,1,4,"POPU","BAL","",3.9,0.071,"2012-AUG-28",5960000,320000
"162",1245881,0,1,5,"PICE","MAR","",1.7,0.036,"2012-AUG-28",5960000,320000
"163",1252776,0,0,1,"PICE","MAR","",71,0.667,"2003-AUG-26",5910000,370000
"164",1252776,0,0,2,"LARI","LAR","",29,0.333,"2003-AUG-26",5910000,370000
"165",1252776,0,1,1,"LARI","LAR","",55.1,0.5,"2018-AUG-22",5910000,370000
"166",1252776,0,1,2,"PICE","MAR","",44.9,0.5,"2018-AUG-22",5910000,370000
"167",1259646,0,0,1,"PICE","MAR","",80.6,0.8,"2003-AUG-27",5910000,330000
"168",1259646,0,0,2,"LARI","LAR","",19.4,0.2,"2003-AUG-27",5910000,330000
"169",1259646,0,1,1,"PICE","MAR","",70.7,0.727,"2013-SEP-04",5910000,330000
"170",1259646,0,1,2,"LARI","LAR","",29.3,0.273,"2013-SEP-04",5910000,330000
"171",1259661,0,0,1,"PICE","MAR","",100,1,"2003-AUG-27",5890000,380000
"172",1259661,0,1,1,"PICE","MAR","",100,1,"2008-AUG-19",5890000,380000
