"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"151",1162966,0,1,1,"PICE","MAR","",51.4,0.574,"2020-JUL-07",6460000,470000
"152",1162966,0,1,2,"ABIE","LAS","",38.1,0.295,"2020-JUL-07",6460000,470000
"153",1162966,0,1,3,"PICE","GLA","",10.5,0.131,"2020-JUL-07",6460000,470000
"154",1162986,0,0,1,"POPU","BAL","",78,0.875,"2001-JUL-21",6460000,550000
"155",1162986,0,0,2,"PINU","CON","",22,0.125,"2001-JUL-21",6460000,550000
"156",1163006,0,0,1,"LARI","LAR","",63.1,0.647,"2001-JUL-19",6460000,630000
"157",1163006,0,0,2,"PICE","MAR","",36.9,0.353,"2001-JUL-19",6460000,630000
"158",1163006,0,1,1,"LARI","LAR","",66.3,0.733,"2019-JUL-17",6460000,630000
"159",1163006,0,1,2,"PICE","MAR","",33.7,0.267,"2019-JUL-17",6460000,630000
"160",1169726,0,0,1,"ABIE","LAS","",72.3,0.846,"2002-JUL-22",6440000,350000
"161",1169726,0,0,2,"PICE","SPP","",27.7,0.154,"2002-JUL-22",6440000,350000
"162",1169811,0,0,1,"ABIE","LAS","",60.5,0.433,"2003-JUL-24",6450000,330000
"163",1169811,0,0,2,"PICE","ENG","GLA",25.7,0.367,"2003-JUL-24",6450000,330000
"164",1169811,0,0,3,"PINU","CON","LAT",13.9,0.2,"2003-JUL-24",6450000,330000
"165",1169811,0,1,3,"PINU","CON","",10.6,0.148,"2018-JUL-17",6450000,330000
"166",1176611,0,0,1,"POPU","TRE","",55.2,0.75,"2002-AUG-01",6420000,370000
"167",1176611,0,1,1,"POPU","TRE","",56.3,0.684,"2021-AUG-07",6420000,370000
"168",1176651,0,0,1,"PICE","MAR","",100,1,"2001-AUG-18",6420000,530000
"169",1176651,0,1,1,"PICE","MAR","",100,1,"2021-AUG-04",6420000,530000
"170",1176656,0,0,1,"ABIE","LAS","",100,1,"2003-JUN-27",6420000,550000
"171",1176656,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-31",6420000,550000
"172",1183511,0,0,3,"ABIE","LAS","",1.1,0.1,"2003-JUL-01",6400000,450000
"173",1183516,0,0,1,"PICE","ENG","GLA",59.6,0.579,"2005-JUL-18",6400000,470000
"174",1183516,0,0,2,"POPU","TRE","",33.5,0.316,"2005-JUL-18",6400000,470000
"175",1183516,0,0,3,"ABIE","LAS","",6.9,0.105,"2005-JUL-18",6400000,470000
"176",1183516,0,1,1,"PICE","ENG","GLA",51.6,0.429,"2021-JUL-29",6400000,470000
"177",1183601,0,0,1,"PICE","GLA","",83.9,0.934,"2003-JUN-21",6400000,450000
"178",1183601,0,0,2,"POPU","BAL","",16.1,0.066,"2003-JUN-21",6400000,450000
"179",1183601,0,1,1,"PICE","GLA","",85.3,0.931,"2019-JUL-20",6400000,450000
"180",1183601,0,1,2,"POPU","BAL","",14.7,0.069,"2019-JUL-20",6400000,450000
"181",1190376,0,0,1,"PICE","SPP","",87.2,0.775,"2002-JUL-24",6380000,390000
"182",1190376,0,0,2,"POPU","BAL","",12.8,0.225,"2002-JUL-24",6380000,390000
"183",1190376,0,1,1,"PICE","SPP","",88.4,0.75,"2021-AUG-02",6380000,390000
"184",1190376,0,1,2,"POPU","BAL","",11.6,0.25,"2021-AUG-02",6380000,390000
"185",1190456,0,0,1,"PICE","ENG","GLA",86.1,0.679,"2003-JUL-25",6390000,350000
"186",1190456,0,0,2,"ABIE","LAS","",11.4,0.286,"2003-JUL-25",6390000,350000
"187",1190456,0,0,3,"PINU","CON","LAT",2.5,0.036,"2003-JUL-25",6390000,350000
"188",1190456,0,1,1,"PICE","ENG","GLA",86.4,0.621,"2018-JUL-14",6390000,350000
"189",1190456,0,1,2,"ABIE","LAS","",13.6,0.379,"2018-JUL-14",6390000,350000
"190",1197411,0,0,1,"PICE","MAR","",100,1,"2001-JUL-24",6360000,650000
"191",1197411,0,1,1,"PICE","MAR","",66.5,0.667,"2019-SEP-08",6360000,650000
"192",1197411,0,1,2,"LARI","LAR","",33.5,0.333,"2019-SEP-08",6360000,650000
"193",1204221,0,1,1,"PICE","ENG","GLA",97.2,0.818,"2018-JUL-16",6350000,370000
"194",1204221,0,1,2,"PINU","CON","",2.8,0.182,"2018-JUL-16",6350000,370000
"195",1204261,0,0,1,"PICE","MAR","",100,1,"2003-JUN-26",6340000,530000
"196",1204261,0,1,1,"PICE","MAR","",98.7,0.983,"2019-JUL-26",6340000,530000
"197",1204261,0,1,2,"PICE","GLA","",1.3,0.017,"2019-JUL-26",6340000,530000
"198",1204271,0,0,1,"PINU","CON","LAT",93.3,0.846,"2002-JUL-21",6340000,570000
"199",1204271,0,0,2,"PICE","GLA","",4.1,0.077,"2002-JUL-21",6340000,570000
"200",1204271,0,0,3,"PICE","MAR","",2.6,0.077,"2002-JUL-21",6340000,570000
"201",1204271,0,1,1,"PICE","MAR","",47.9,0.571,"2019-JUL-27",6340000,570000
"202",1204271,0,1,2,"PICE","GLA","",36.4,0.286,"2019-JUL-27",6340000,570000
"203",1204271,0,1,3,"PINU","CON","",15.7,0.143,"2019-JUL-27",6340000,570000
"204",1204276,0,0,1,"POPU","TRE","",57.3,0.824,"2001-JUL-27",6340000,590000
"205",1204276,0,0,2,"PICE","GLA","",42.7,0.176,"2001-JUL-27",6340000,590000
"206",1204281,0,0,1,"POPU","TRE","",74.3,0.773,"2001-JUL-25",6340000,610000
"207",1204281,0,0,2,"PICE","GLA","",19.2,0.213,"2001-JUL-25",6340000,610000
"208",1204281,0,0,3,"PINU","CON","",6.5,0.013,"2001-JUL-25",6340000,610000
"209",1204281,0,1,1,"POPU","TRE","",61.5,0.6,"2019-JUL-23",6340000,610000
"210",1204281,0,1,2,"PICE","GLA","",33,0.386,"2019-JUL-23",6340000,610000
"211",1204281,0,1,3,"PINU","CON","",5.4,0.014,"2019-JUL-23",6340000,610000
"212",1211016,0,0,1,"ABIE","LAS","",100,1,"2002-JUL-25",6320000,390000
"213",1211016,0,1,1,"ABIE","LAS","",100,1,"2021-AUG-16",6320000,390000
"214",1211056,0,0,1,"ABIE","LAS","",98.4,0.982,"2005-JUL-17",6320000,550000
"215",1211056,0,0,2,"PICE","ENG","",1.6,0.018,"2005-JUL-17",6320000,550000
"216",1211056,0,1,1,"ABIE","LAS","",97.8,0.981,"2018-JUL-12",6320000,550000
"217",1211056,0,1,2,"PICE","ENG","",2.2,0.019,"2018-JUL-12",6320000,550000
"218",1211116,0,0,1,"PICE","ENG","",64.1,0.613,"2005-JUN-18",6330000,430000
"219",1211116,0,0,2,"ABIE","LAS","",35.9,0.387,"2005-JUN-18",6330000,430000
"220",1211116,0,1,1,"PICE","ENG","",61.5,0.613,"2018-JUL-15",6330000,430000
"221",1211116,0,1,2,"ABIE","LAS","",38.5,0.387,"2018-JUL-15",6330000,430000
"222",1217986,0,0,1,"ABIE","LAS","",89.4,0.867,"2003-JUL-27",6310000,390000
"223",1217986,0,0,2,"PINU","CON","LAT",9.8,0.1,"2003-JUL-27",6310000,390000
"224",1217986,0,0,3,"PICE","ENG","GLA",0.8,0.033,"2003-JUL-27",6310000,390000
"225",1217986,0,1,1,"ABIE","LAS","",97.5,0.947,"2018-JUL-21",6310000,390000
"226",1217986,0,1,2,"PICE","ENG","GLA",1.3,0.026,"2018-JUL-21",6310000,390000
"227",1217986,0,1,3,"PINU","CON","",1.3,0.026,"2018-JUL-21",6310000,390000
"228",1217991,0,0,1,"ABIE","LAS","",82.7,0.898,"2003-JUN-23",6310000,410000
"229",1217991,0,0,2,"PICE","ENG","GLA",11.8,0.061,"2003-JUN-23",6310000,410000
"230",1217991,0,0,3,"PINU","CON","LAT",5.4,0.041,"2003-JUN-23",6310000,410000
"231",1217991,0,1,1,"ABIE","LAS","",87.2,0.929,"2018-JUL-18",6310000,410000
"232",1217991,0,1,2,"PICE","ENG","GLA",12.8,0.071,"2018-JUL-18",6310000,410000
"233",1217996,0,0,1,"PICE","GLA","",98.7,0.95,"2002-AUG-18",6310000,430000
"234",1217996,0,0,2,"ABIE","LAS","",1.3,0.05,"2002-AUG-18",6310000,430000
"235",1217996,0,1,1,"PICE","GLA","",98.3,0.923,"2018-JUL-11",6310000,430000
"236",1217996,0,1,2,"ABIE","LAS","",1.7,0.077,"2018-JUL-11",6310000,430000
"237",1224876,0,0,1,"ABIE","LAS","",96.1,0.976,"2005-JUN-19",6290000,430000
"238",1224876,0,0,2,"ABIE","AMA","",3.9,0.024,"2005-JUN-19",6290000,430000
"239",1224876,0,1,1,"ABIE","LAS","",100,1,"2018-JUL-13",6290000,430000
"240",1224886,0,0,1,"PICE","ENG","GLA",96.1,0.973,"2002-JUL-06",6280000,470000
"241",1224886,0,0,2,"ABIE","LAS","",3.9,0.027,"2002-JUL-06",6280000,470000
"242",1224886,0,1,1,"PICE","ENG","GLA",94.6,0.97,"2019-JUL-28",6280000,470000
"243",1224886,0,1,2,"ABIE","LAS","",5.4,0.03,"2019-JUL-28",6280000,470000
"244",1224896,0,0,3,"PINU","CON","LAT",12.4,0.094,"2002-AUG-08",6280000,510000
"245",1224896,0,0,4,"POPU","BAL","",2.7,0.047,"2002-AUG-08",6280000,510000
"246",1224896,0,1,1,"PICE","ENG","GLA",52.7,0.64,"2019-JUL-29",6280000,510000
"247",1224896,0,1,2,"POPU","TRE","",29.9,0.18,"2019-JUL-29",6280000,510000
"248",1224896,0,1,3,"PINU","CON","",15.1,0.14,"2019-JUL-29",6280000,510000
"249",1224896,0,1,4,"POPU","BAL","",2.2,0.04,"2019-JUL-29",6280000,510000
"250",1224916,0,0,1,"PICE","ENG","GLA",78.5,0.694,"2003-JUN-24",6280000,590000
"251",1224916,0,0,2,"POPU","TRE","",16.9,0.25,"2003-JUN-24",6280000,590000
"252",1224916,0,0,3,"BETU","NEO","",4.6,0.056,"2003-JUN-24",6280000,590000
"253",1224916,0,1,1,"PICE","GLA","",77.1,0.69,"2019-JUL-22",6280000,590000
"254",1224916,0,1,2,"POPU","TRE","",20,0.276,"2019-JUL-22",6280000,590000
