"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"59",1252701,0,2,3,"POPU","TRE",NA,8.2,0.026,"2018-JUL-25",6010000,480000
"60",1252711,0,0,1,"POPU","TRE",NA,100,1,"2003-SEP-25",6000000,520000
"61",1252711,0,1,1,"POPU","TRE",NA,96.2,0.949,"2013-SEP-01",6000000,520000
"62",1252711,0,1,2,"PICE","MAR",NA,2.7,0.038,"2013-SEP-01",6000000,520000
"63",1252711,0,1,3,"PICE","GLA",NA,1.1,0.013,"2013-SEP-01",6000000,520000
"64",1252721,0,0,3,"POPU","BAL",NA,10.4,0.038,"2003-SEP-24",5980000,560000
"65",1252721,0,1,3,"POPU","BAL",NA,20.3,0.154,"2009-AUG-30",5990000,560000
"66",1266391,0,0,1,"POPU","TRE",NA,54.9,0.606,"2004-JUL-30",6040000,590000
"67",1266391,0,0,4,"PICE","MAR",NA,4.2,0.03,"2004-JUL-30",6040000,590000
"68",1266391,0,1,1,"POPU","TRE",NA,51.9,0.625,"2012-AUG-06",6040000,590000
"69",1266391,0,1,2,"PICE","GLA",NA,32.8,0.188,"2012-AUG-06",6040000,590000
"70",1266391,0,1,3,"POPU","BAL",NA,11,0.156,"2012-AUG-06",6040000,590000
"71",1266391,0,1,4,"PICE","MAR",NA,4.3,0.031,"2012-AUG-06",6040000,590000
"72",1266411,0,1,1,"BETU","PAP",NA,63,0.6,"2012-AUG-05",6030000,670000
"73",1266411,0,1,2,"POPU","TRE",NA,37,0.4,"2012-AUG-05",6030000,670000
"74",1266441,0,0,1,"PICE","MAR",NA,71.6,0.967,"2006-SEP-09",5990000,390000
"75",1266441,0,0,2,"PINU","BAN",NA,28.4,0.033,"2006-SEP-09",5990000,390000
"76",1266441,0,1,1,"PICE","MAR",NA,78.8,0.974,"2016-SEP-04",5990000,390000
"77",1266441,0,1,2,"PINU","BAN",NA,21.2,0.026,"2016-SEP-04",5990000,390000
"78",1266451,0,0,1,"PICE","MAR",NA,94.3,0.97,"2006-SEP-10",5980000,430000
"79",1266451,0,0,2,"PINU","BAN",NA,5.7,0.03,"2006-SEP-10",5980000,430000
"80",1266451,0,1,1,"PICE","MAR",NA,93.9,0.971,"2015-SEP-01",5980000,430000
"81",1266451,0,1,2,"PINU","BAN",NA,6.1,0.029,"2015-SEP-01",5980000,430000
"82",1266461,0,0,1,"PINU","BAN",NA,94.8,0.929,"2006-SEP-20",5970000,470000
"83",1266461,0,0,2,"PICE","MAR",NA,5.2,0.071,"2006-SEP-20",5970000,470000
"84",1266461,0,1,1,"PINU","BAN",NA,93.2,0.929,"2015-AUG-30",5970000,470000
"85",1266461,0,1,2,"PICE","MAR",NA,6.8,0.071,"2015-AUG-30",5970000,470000
"86",1266471,0,0,1,"PICE","MAR",NA,50.9,0.591,"2004-SEP-15",5960000,510000
"87",1266471,0,0,2,"PINU","BAN",NA,49.1,0.409,"2004-SEP-15",5960000,510000
"88",1266471,0,1,1,"PICE","MAR",NA,67,0.737,"2009-AUG-28",5960000,510000
"89",1266471,0,1,2,"PINU","BAN",NA,33,0.263,"2009-AUG-28",5960000,510000
"90",1266471,0,2,1,"PICE","MAR",NA,87,0.895,"2018-JUL-23",5960000,510000
"91",1266471,0,2,2,"PINU","BAN",NA,13,0.105,"2018-JUL-23",5960000,510000
"92",1266481,0,0,1,"ABIE","BAL",NA,30.7,0.429,"2003-SEP-08",5950000,550000
"93",1266481,0,0,2,"PICE","GLA",NA,30.4,0.314,"2003-SEP-08",5950000,550000
"94",1266481,0,0,3,"POPU","TRE",NA,19.5,0.2,"2003-SEP-08",5950000,550000
"95",1266481,0,0,4,"POPU","BAL",NA,19.4,0.057,"2003-SEP-08",5950000,550000
"96",1266481,0,1,3,"POPU","TRE",NA,21.7,0.194,"2013-AUG-31",5950000,550000
"97",1266481,0,1,4,"POPU","BAL",NA,20.3,0.056,"2013-AUG-31",5950000,550000
"98",1266491,0,2,1,"POPU","TRE",NA,100,1,"2019-AUG-25",5930000,590000
"99",1266511,0,0,1,"PICE","MAR",NA,58.2,0.775,"2004-SEP-24",5910000,660000
"100",1266511,0,0,2,"BETU","PAP",NA,25,0.175,"2004-SEP-24",5910000,660000
"101",1266511,0,0,3,"POPU","TRE",NA,16.8,0.05,"2004-SEP-24",5910000,660000
"102",1266511,0,1,1,"PICE","MAR",NA,66.3,0.694,"2017-OCT-05",5910000,660000
"103",1266511,0,1,3,"BETU","PAP",NA,13.8,0.111,"2017-OCT-05",5910000,660000
"104",1280161,0,0,1,"PICE","GLA",NA,46.1,0.516,"2004-SEP-29",6000000,620000
"105",1280161,0,0,2,"PICE","MAR",NA,41,0.419,"2004-SEP-29",6000000,620000
"106",1280161,0,0,3,"LARI","LAR",NA,12.9,0.065,"2004-SEP-29",6000000,620000
"107",1280161,0,1,1,"PICE","GLA",NA,54.6,0.6,"2012-AUG-08",6000000,620000
"108",1280161,0,1,2,"PICE","MAR",NA,21.9,0.273,"2012-AUG-08",6000000,620000
"109",1280161,0,1,3,"LARI","LAR",NA,21.3,0.109,"2012-AUG-08",6000000,620000
"110",1280161,0,1,4,"POPU","BAL",NA,2.2,0.018,"2012-AUG-08",6000000,620000
"111",1280171,0,0,1,"POPU","TRE",NA,55.9,0.545,"2004-JUL-30",5990000,660000
"112",1280171,0,0,2,"PICE","GLA",NA,41.1,0.364,"2004-JUL-30",5990000,660000
