"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"136",846436,"2005-AUG-12",0,0,0,0,0.25,0.35,0.37
"137",846436,"2021-JUL-19",1,0,0,0,0,0,0
"138",846466,"2005-AUG-10",0,0.5,0.72,0.62,0.61,0.88,0.43
"139",846466,"2021-JUL-20",1,0.61,0.88,0.43,0.86,0.78,0.83
"140",853296,"2005-AUG-13",0,0,0,0,1.52,0.78,1.55
"141",853296,"2021-JUL-21",1,0.62,0.9,0.27,1.13,0.82,0.93
"142",853326,"2005-AUG-12",0,0,0,0,1.28,0.92,1.14
"143",853326,"2021-JUL-18",1,0.33,0.47,0.43,1.04,0.94,0.83
"144",853346,"2005-AUG-09",0,0.33,0.47,0.43,1.07,0.77,1.21
"145",853346,"2021-JUL-20",1,0,0,0,0,0,0
"146",860171,"2006-JUL-26",0,0,0,0,0.3,0.44,0.42
"147",860171,"2021-JUL-21",1,0,0,0,0,0,0
"148",860211,"2005-JUL-31",0,0,0,0,0,0,0
"149",860211,"2021-JUL-18",1,0,0,0,0,0,0
"150",867091,"2005-AUG-07",0,0,0,0,1.5,0.83,1.35
"151",867091,"2021-JUL-17",1,0,0,0,0.96,0.87,0.54
"152",873921,"2006-JUL-24",0,0,0,0,0.61,0.88,0.26
"153",873921,"2021-JUL-16",1,0,0,0,0.66,0.95,0.26
"154",873961,"2005-AUG-01",0,0.65,0.94,0.38,1.3,0.94,1.14
"155",873961,"2019-AUG-03",1,0.62,0.9,0.36,0.79,0.72,0.69
"156",874051,"2006-JUL-30",0,0.5,0.72,0.62,0.69,1,0.4
"157",874051,"2019-AUG-08",1,0.3,0.44,0.42,0.53,0.76,0.46
"158",880786,"2006-JUL-26",0,0,0,0,0,0,0
"159",880786,"2021-JUL-16",1,0,0,0,0,0,0
"160",880796,"2006-JUL-25",0,0,0,0,0.68,0.99,0.32
"161",880796,"2021-JUL-13",1,0,0,0,0.62,0.89,0.31
"162",880806,"2002-AUG-12",0,0.69,1,1.44,0.38,0.54,0.31
"163",880806,"2021-JUL-15",1,0.64,0.92,0.91,0.38,0.54,0.31
